County,state,Life Expectancy Rank,Life Expectancy,Tax Rank,Tax Rate,overall rank
Summit, UT,198,81.57142857142857,907,0.07197872340425532,1105
Harmon, OK,920,79.1,188,0.09166666666666667,1108
Ontario, NY,515,80.244,595,0.07763157894736843,1110
Benton, IA,362,80.77142857142857,749,0.07472602739726028,1111
Kimble, TX,176,81.69999999999999,937,0.07125000000000001,1113
Seneca, NY,400,80.65,714,0.07522727272727273,1114
Jefferson, WI,453,80.45263157894736,661,0.0763845822102426,1114
King, VA,1016,78.86,99,0.09928160919540228,1115
Gillespie, TX,450,80.46000000000001,668,0.07625,1118
Winona, MN,322,80.91111111111111,798,0.07375,1120
Wabaunsee, KS,884,79.19999999999999,245,0.08714285714285715,1129
Lyon, IA,291,81.06666666666666,840,0.07302272727272727,1131
Greene, VA,438,80.5,700,0.07556129032258065,1138
Goodhue, MN,339,80.83,800,0.07375,1139
Oliver, ND,34,84.3,1111,0.07,1145
Glenn, CA,313,80.95,833,0.073125,1146
Pawnee, NE,559,80.1,587,0.07796875,1146
Imperial, CA,580,80.02413793103447,570,0.0785,1150
Ellis, OK,826,79.35,325,0.08292592592592592,1151
Mower, MN,379,80.72727272727273,777,0.07408333333333332,1156
Oswego, NY,719,79.65714285714286,438,0.08034090909090909,1157
Henderson, IL,449,80.46666666666667,708,0.07540697674418605,1157
Scott, MN,349,80.80952380952381,808,0.07363571428571429,1157
Cherokee, IA,572,80.05,586,0.07801886792452829,1158
Jefferson, IA,498,80.3,661,0.0763845822102426,1159
Taylor, WI,42,83.86,1118,0.06994318181818182,1160
Delaware, NY,214,81.43846153846154,948,0.0710482456140351,1162
Calaveras, CA,337,80.83333333333333,827,0.07333333333333332,1164
Wilson, TX,632,79.86,532,0.07970000000000001,1164
Bailey, TX,442,80.5,722,0.07500000000000001,1164
Smith, MS,881,79.2,288,0.0852857142857143,1169
Greene, NY,474,80.39285714285714,700,0.07556129032258065,1174
Champaign, IL,589,80.0,585,0.07807692307692307,1174
Howard, NE,40,83.94999999999999,1135,0.06945754716981131,1175
Swift, MN,47,83.67500000000001,1129,0.06958333333333334,1176
Collier, FL,195,81.59152542372881,981,0.07022727272727274,1176
Shackelford, TX,492,80.3,691,0.07583333333333332,1183
Cuming, NE,312,80.96666666666665,871,0.07250000000000001,1183
Jewell, KS,612,79.9,572,0.0784375,1184
Redwood, MN,391,80.68333333333334,794,0.07375,1185
Mason, TX,59,83.2,1127,0.06961627906976744,1186
Bureau, IL,418,80.57777777777778,769,0.07427083333333333,1187
Franklin, MA,331,80.87777777777778,856,0.07268389830508475,1187
Craig, VA,782,79.5,417,0.08085714285714286,1199
Perry, MO,228,81.38,977,0.07039814814814815,1205
Seminole, FL,659,79.78987341772151,549,0.07916250000000001,1208
Winnebago, IA,404,80.63333333333333,805,0.07371794871794872,1209
Grand, MI,596,79.9625,619,0.07740909090909091,1215
Fulton, NY,770,79.52666666666667,445,0.080195,1215
Trinity, CA,327,80.9,888,0.0725,1215
Thurston, WA,667,79.77083333333333,550,0.0790952380952381,1217
Bandera, TX,487,80.34,731,0.075,1218
Faribault, MN,266,81.2,953,0.07097222222222223,1219
Moore, NC,363,80.76875,858,0.07266666666666667,1221
Ferry, WA,810,79.39999999999999,416,0.08088888888888889,1226
Steuben, NY,660,79.78620689655173,566,0.0786764705882353,1226
Martin, TX,35,84.19999999999999,1194,0.06824404761904762,1229
Orange, NY,523,80.21866666666666,706,0.07546696035242291,1229
Jefferson, NY,569,80.05909090909091,661,0.0763845822102426,1230
Riverside, CA,939,79.0438679245283,291,0.08524647887323943,1230
Ottawa, MI,309,80.97058823529412,926,0.0715,1235
Cattaraugus, NY,811,79.39999999999999,424,0.08064814814814815,1235
Upton, TX,508,80.25,729,0.075,1237
Sibley, MN,343,80.825,897,0.07232142857142856,1240
Putnam, OH,419,80.57142857142857,821,0.07335000000000001,1240
Morton, KS,20,85.3,1220,0.0675,1240
Ellis, KS,917,79.10000000000001,325,0.08292592592592592,1242
Comal, TX,908,79.13636363636364,336,0.0825,1244
Osceola, IA,124,82.1,1121,0.0698,1245
Winneshiek, IA,132,82.03999999999999,1114,0.07,1246
Shelby, IA,935,79.05,311,0.08355,1246
Fillmore, MN,83,82.53333333333333,1167,0.06874999999999999,1250
Woodford, IL,799,79.43333333333334,452,0.08,1251
Anderson, KS,675,79.75,578,0.07830882352941176,1253
Ozark, MO,275,81.15,979,0.07037500000000001,1254
Becker, MN,483,80.35,771,0.07425,1254
Wyandot, OH,377,80.73333333333333,878,0.0725,1255
Wayne, UT,2,89.3,1256,0.0663180751173709,1258
Hartley, TX,52,83.5,1207,0.0675,1259
Onondaga, NY,804,79.40153846153846,455,0.08,1259
Henry, OH,493,80.3,767,0.07433333333333333,1260
Monroe, WV,306,81.0,954,0.0708915343915344,1260
Haskell, TX,865,79.25,397,0.08149999999999999,1262
Alfalfa, OK,1056,78.76666666666667,207,0.08964285714285715,1263
Jefferson, CO,604,79.94049586776859,661,0.0763845822102426,1265
Franklin, ID,411,80.6,856,0.07268389830508475,1267
Clallam, WA,1020,78.85,250,0.087125,1270
Suffolk, MA,730,79.62934131736527,540,0.07948333333333334,1270
Hidalgo, NM,676,79.75,598,0.07750000000000001,1274
Republic, KS,1000,78.89999999999999,279,0.08555555555555555,1279
King, VA,1183,78.5,99,0.09928160919540228,1282
Sioux, NE,12,86.6,1271,0.0661904761904762,1283
Franklin, NE,428,80.55,856,0.07268389830508475,1284
DeKalb, MO,902,79.15,383,0.08192666666666666,1285
Chickasaw, IA,250,81.275,1035,0.07,1285
Garfield, UT,14,86.25,1272,0.06615,1286
Pike, IN,317,80.925,973,0.07047522522522523,1290
Placer, CA,490,80.31857142857143,802,0.07375,1292
Rockwall, TX,961,78.99090909090908,331,0.0825,1292
Clay, IA,573,80.05,720,0.07504166666666667,1293
Frontier, NE,15,86.2,1281,0.06583333333333334,1296
Jones, IA,336,80.84,961,0.07073529411764706,1297
Chisago, MN,502,80.28,796,0.07375,1298
Kingman, KS,1055,78.76666666666667,247,0.08714285714285715,1302
Osage, MO,1031,78.825,273,0.0861060606060606,1304
Morris, NJ,134,82.0295918367347,1171,0.06863559322033898,1305
Sevier, UT,976,78.96000000000001,329,0.08259782608695652,1305
Howard, MD,170,81.7074074074074,1135,0.06945754716981131,1305
Gilpin, CO,156,81.8,1153,0.06899999999999999,1309
Cedar, IA,114,82.17999999999999,1201,0.06770238095238096,1315
Mendocino, CA,869,79.235,446,0.08019230769230769,1315
Jefferson, MT,655,79.8,661,0.0763845822102426,1316
Dakota, MN,392,80.68333333333334,925,0.07151041666666666,1317
Meeker, MN,396,80.66666666666667,923,0.07160714285714286,1319
Haskell, OK,922,79.1,397,0.08149999999999999,1319
Robertson, TX,1053,78.775,266,0.08633333333333333,1319
Grand, VT,700,79.7,619,0.07740909090909091,1319
Deuel, SD,49,83.55,1274,0.0661111111111111,1323
Hardin, IA,577,80.03333333333333,747,0.07475490196078431,1324
Kanabec, MN,521,80.225,803,0.07375,1324
Colfax, NM,202,81.53333333333333,1125,0.06964400000000001,1327
Greer, OK,1142,78.6,187,0.09166666666666667,1329
Franklin, WA,475,80.39166666666667,856,0.07268389830508475,1331
Woodruff, AR,1145,78.6,186,0.09166666666666667,1331
Broome, NY,833,79.32244897959184,500,0.08,1333
Dickens, TX,611,79.9,723,0.07500000000000001,1334
Jackson, SD,526,80.2,810,0.0736028409090909,1336
Orange, NC,633,79.85000000000001,706,0.07546696035242291,1339
Davis, IA,441,80.5,898,0.0723,1339
Deuel, NE,66,82.8,1274,0.0661111111111111,1340
Hunterdon, NJ,77,82.604,1263,0.06625,1340
Stevens, KS,678,79.75,663,0.07628125000000001,1341
Clay, MN,624,79.89230769230768,720,0.07504166666666667,1344
Story, IA,287,81.0923076923077,1061,0.07,1348
Colusa, CA,522,80.22,826,0.07333333333333332,1348
Florence, WI,677,79.75,672,0.07615384615384616,1349
Alpine, CA,470,80.4,884,0.0725,1354
Bremer, IA,297,81.0375,1058,0.07,1355
Miami, KS,697,79.7,659,0.07644000000000001,1356
Dawes, NE,109,82.2,1249,0.06666666666666667,1358
Garfield, WA,86,82.5,1272,0.06615,1358
Monroe, MO,405,80.63333333333333,954,0.0708915343915344,1359
Wake, NC,507,80.25064102564103,852,0.0728125,1359
Ford, KS,603,79.94285714285715,757,0.0745,1360
Russell, KS,702,79.69999999999999,658,0.07644318181818183,1360
Montgomery, PA,513,80.24660194174757,848,0.07286875,1361
Bergen, NJ,99,82.34943181818181,1264,0.06625,1363
Aurora, SD,51,83.5,1315,0.065,1366
Eureka, NV,226,81.4,1142,0.06933333333333334,1368
Pinal, AZ,1133,78.6032258064516,235,0.08751724137931034,1368
Mercer, ND,82,82.53333333333335,1291,0.06552956989247312,1373
Menard, IL,985,78.93333333333334,389,0.08178571428571428,1374
Mills, TX,356,80.8,1021,0.07,1377
Terrell, TX,739,79.6,638,0.07678571428571428,1377
Decatur, IN,835,79.31666666666666,544,0.07923076923076923,1379
Shelby, OH,1070,78.75,311,0.08355,1381
Martin, FL,188,81.60645161290323,1194,0.06824404761904762,1382
Rensselaer, NY,934,79.05121951219512,450,0.08,1384
Grant, MN,23,84.9,1362,0.06320866141732283,1385
Anoka, MN,545,80.14025974025974,842,0.0729642857142857,1387
Sioux, IA,116,82.17142857142858,1271,0.0661904761904762,1387
Davis, UT,491,80.31836734693877,898,0.0723,1389
Sacramento, CA,1086,78.71533333333333,303,0.08395454545454545,1389
Piatt, IL,757,79.575,632,0.07704545454545454,1389
Denver, CO,1171,78.52307692307693,221,0.0885258064516129,1392
Hays, TX,1026,78.84285714285714,366,0.0825,1392
Rusk, WI,122,82.125,1273,0.066125,1395
White, NV,1012,78.86666666666666,386,0.08182926829268293,1398
Hemphill, TX,530,80.2,869,0.07250000000000001,1399
Ascension, LA,1237,78.4,163,0.09378571428571428,1400
Will, IL,1178,78.50214285714286,226,0.08825,1404
Hansford, TX,1040,78.8,367,0.0825,1407
Lake, SD,50,83.53333333333335,1357,0.06337074829931973,1407
Lake, MN,54,83.35,1357,0.06337074829931973,1411
Clarke, VA,554,80.10000000000001,862,0.07250000000000001,1416
Lyon, MN,578,80.02857142857142,840,0.07302272727272727,1418
Pike, PA,448,80.48,973,0.07047522522522523,1421
Hamilton, NY,866,79.25,556,0.07876492537313433,1422
Franklin, PA,570,80.05555555555556,856,0.07268389830508475,1426
Brown, NE,194,81.6,1234,0.06707142857142857,1428
Millard, UT,85,82.5,1345,0.06359090909090909,1430
Madison, IA,527,80.2,903,0.07214432989690722,1430
Camden, NC,294,81.05,1139,0.06938679245283019,1433
Armstrong, TX,16,86.2,1419,0.06137931034482759,1435
Pierce, WA,1175,78.51,262,0.08653846153846154,1437
Emery, UT,149,81.86666666666666,1288,0.06561111111111112,1437
Maricopa, AZ,1149,78.5891820580475,289,0.08525089552238806,1438
Martin, MN,244,81.3,1194,0.06824404761904762,1438
Solano, CA,1037,78.80112359550562,402,0.08125,1439
Wayne, NE,184,81.65,1256,0.0663180751173709,1440
Conejos, CO,104,82.25,1336,0.064,1440
Henry, IA,674,79.75999999999999,767,0.07433333333333333,1441
Miami-Dade, FL,424,80.55513626834382,1018,0.07,1442
Benton, MN,694,79.71111111111111,749,0.07472602739726028,1443
Newport, RI,436,80.515,1009,0.07,1445
Oneida, NY,1063,78.7578125,382,0.08196428571428571,1445
Custer, ID,5,87.7,1441,0.06025,1446
Yavapai, AZ,1034,78.8157894736842,418,0.08083928571428571,1452
Warren, IN,333,80.85,1120,0.06982283464566928,1453
Wilkin, MN,471,80.4,985,0.07017857142857144,1456
Cedar, NE,256,81.25,1201,0.06770238095238096,1457
Albany, NY,792,79.4820895522388,666,0.07625,1458
Columbia, NY,165,81.765,1296,0.06519512195121951,1461
Clay, NE,744,79.6,720,0.07504166666666667,1464
Antelope, NE,106,82.23333333333333,1363,0.063125,1469
Brown, MN,239,81.3125,1234,0.06707142857142857,1473
Somervell, TX,1120,78.65,354,0.0825,1474
Mariposa, CA,1238,78.4,240,0.0875,1478
Chautauqua, NY,1018,78.8529411764706,460,0.08,1478
Fairfield, CT,211,81.49901477832512,1270,0.06624615384615384,1481
Jackson, WI,672,79.76,810,0.0736028409090909,1482
Benton, WA,734,79.61875,749,0.07472602739726028,1483
Kings, CA,1218,78.425,267,0.08629891304347825,1485
Glasscock, TX,267,81.2,1218,0.0675,1485
Montrose, CO,814,79.38,675,0.0760125,1489
Amador, CA,885,79.19999999999999,606,0.0775,1491
Bennington, VT,121,82.13333333333334,1370,0.06294117647058824,1491
Burnet, TX,1150,78.5875,344,0.0825,1494
Washington, MN,154,81.84791666666666,1341,0.06370809523809524,1495
Clark, WA,899,79.15510204081633,597,0.0775421511627907,1496
Pine, MN,707,79.6875,790,0.07375,1497
Vernon, WI,298,81.02857142857144,1199,0.06781060606060607,1497
Cherokee, GA,913,79.11666666666666,586,0.07801886792452829,1499
Oneida, WI,1118,78.65833333333333,382,0.08196428571428571,1500
Guthrie, IA,458,80.43333333333334,1043,0.07,1501
Colfax, NE,376,80.73333333333333,1125,0.06964400000000001,1501
Utah, UT,602,79.94910714285713,899,0.07229166666666666,1501
Codington, SD,87,82.47142857142856,1415,0.06166666666666667,1502
Medina, TX,698,79.7,807,0.07363636363636364,1505
Brazos, TX,1173,78.52,333,0.0825,1506
Northampton, VA,133,82.03333333333335,1375,0.06284444444444444,1508
Scott, IL,701,79.69999999999999,808,0.07363571428571429,1509
White, IN,1125,78.625,386,0.08182926829268293,1511
Sarpy, NE,534,80.18947368421053,978,0.07038461538461539,1512
Parmer, TX,846,79.3,667,0.07625,1513
Custer, CO,72,82.7,1441,0.06025,1513
Clayton, IA,699,79.7,815,0.07347826086956523,1514
Schuyler, IL,944,79.03333333333333,574,0.07839285714285714,1518
Iron, MI,230,81.36,1289,0.0655703125,1519
Bronx, NY,1308,78.23841269841269,214,0.08875,1522
Garfield, CO,251,81.27000000000001,1272,0.06615,1523
Campbell, SD,192,81.6,1332,0.06412857142857142,1524
Todd, MN,204,81.5125,1321,0.06458333333333333,1525
Texas, OK,905,79.14,620,0.0774047619047619,1525
Richmond, NY,749,79.58921568627451,778,0.07404268292682928,1527
Fulton, OH,1084,78.72222222222223,445,0.080195,1529
Cottle, TX,657,79.8,872,0.07250000000000001,1529
Rush, KS,721,79.65,809,0.07361111111111113,1530
Muscatine, IA,542,80.15,989,0.07,1531
Portage, WI,196,81.58181818181818,1335,0.06403846153846154,1531
Henderson, NC,823,79.35000000000001,708,0.07540697674418605,1531
