,RegionName_x,State_x,Median_Household_Income_2020,Median_House_Price,Ratio_Income_to_House,Rank,lat,lng,Location,RegionName_y,State_y,Life Expectancy Rank,Life_Expectancy,Tax Rank,Tax Rate,overall rank
77,Clark,IN,65555,171166.3748,0.382989942,1693,37.9708,-84.1474,ClarkCounty IN,Clark, IN,2530,75.32692308,597,0.077542151,3127
78,Clark,IN,65555,171166.3748,0.382989942,1693,44.7347,-90.6121,ClarkCounty IN,Clark, IN,2530,75.32692308,597,0.077542151,3127
79,Clark,IN,65555,171166.3748,0.382989942,1693,34.051,-93.1764,ClarkCounty IN,Clark, IN,2530,75.32692308,597,0.077542151,3127
80,Clark,IN,65555,171166.3748,0.382989942,1693,39.3336,-87.7877,ClarkCounty IN,Clark, IN,2530,75.32692308,597,0.077542151,3127
81,Clark,IN,65555,171166.3748,0.382989942,1693,40.4103,-91.7384,ClarkCounty IN,Clark, IN,2530,75.32692308,597,0.077542151,3127
82,Clark,IN,65555,171166.3748,0.382989942,1693,44.8582,-97.7295,ClarkCounty IN,Clark, IN,2530,75.32692308,597,0.077542151,3127
83,Clark,IN,65555,171166.3748,0.382989942,1693,37.2355,-99.8203,ClarkCounty IN,Clark, IN,2530,75.32692308,597,0.077542151,3127
84,Clark,IN,65555,171166.3748,0.382989942,1693,44.2839,-112.3512,ClarkCounty IN,Clark, IN,2530,75.32692308,597,0.077542151,3127
85,Clark,SD,54164,151084.4004,0.358501605,1881,36.2152,-115.0135,ClarkCounty SD,Clark, SD,325,80.9,597,0.077542151,922
86,Clark,SD,54164,151084.4004,0.358501605,1881,45.7792,-122.4825,ClarkCounty SD,Clark, SD,325,80.9,597,0.077542151,922
87,Clark,SD,54164,151084.4004,0.358501605,1881,39.9168,-83.7838,ClarkCounty SD,Clark, SD,325,80.9,597,0.077542151,922
88,Clark,SD,54164,151084.4004,0.358501605,1881,38.4772,-85.7073,ClarkCounty SD,Clark, SD,325,80.9,597,0.077542151,922
89,Clark,SD,54164,151084.4004,0.358501605,1881,37.9708,-84.1474,ClarkCounty SD,Clark, SD,325,80.9,597,0.077542151,922
90,Clark,SD,54164,151084.4004,0.358501605,1881,44.7347,-90.6121,ClarkCounty SD,Clark, SD,325,80.9,597,0.077542151,922
91,Clark,SD,54164,151084.4004,0.358501605,1881,34.051,-93.1764,ClarkCounty SD,Clark, SD,325,80.9,597,0.077542151,922
92,Clark,SD,54164,151084.4004,0.358501605,1881,39.3336,-87.7877,ClarkCounty SD,Clark, SD,325,80.9,597,0.077542151,922
93,Clark,SD,54164,151084.4004,0.358501605,1881,40.4103,-91.7384,ClarkCounty SD,Clark, SD,325,80.9,597,0.077542151,922
94,Clark,SD,54164,151084.4004,0.358501605,1881,44.8582,-97.7295,ClarkCounty SD,Clark, SD,325,80.9,597,0.077542151,922
95,Clark,SD,54164,151084.4004,0.358501605,1881,37.2355,-99.8203,ClarkCounty SD,Clark, SD,325,80.9,597,0.077542151,922
96,Clark,SD,54164,151084.4004,0.358501605,1881,44.2839,-112.3512,ClarkCounty SD,Clark, SD,325,80.9,597,0.077542151,922
97,Clark,NV,62496,301904.7187,0.207005708,2759,36.2152,-115.0135,ClarkCounty NV,Clark, NV,1739,77.28933649,597,0.077542151,2336
98,Clark,NV,62496,301904.7187,0.207005708,2759,45.7792,-122.4825,ClarkCounty NV,Clark, NV,1739,77.28933649,597,0.077542151,2336
99,Clark,NV,62496,301904.7187,0.207005708,2759,39.9168,-83.7838,ClarkCounty NV,Clark, NV,1739,77.28933649,597,0.077542151,2336
100,Clark,NV,62496,301904.7187,0.207005708,2759,38.4772,-85.7073,ClarkCounty NV,Clark, NV,1739,77.28933649,597,0.077542151,2336
101,Clark,NV,62496,301904.7187,0.207005708,2759,37.9708,-84.1474,ClarkCounty NV,Clark, NV,1739,77.28933649,597,0.077542151,2336
102,Clark,NV,62496,301904.7187,0.207005708,2759,44.7347,-90.6121,ClarkCounty NV,Clark, NV,1739,77.28933649,597,0.077542151,2336
103,Clark,NV,62496,301904.7187,0.207005708,2759,34.051,-93.1764,ClarkCounty NV,Clark, NV,1739,77.28933649,597,0.077542151,2336
104,Clark,NV,62496,301904.7187,0.207005708,2759,39.3336,-87.7877,ClarkCounty NV,Clark, NV,1739,77.28933649,597,0.077542151,2336
105,Clark,NV,62496,301904.7187,0.207005708,2759,40.4103,-91.7384,ClarkCounty NV,Clark, NV,1739,77.28933649,597,0.077542151,2336
106,Clark,NV,62496,301904.7187,0.207005708,2759,44.8582,-97.7295,ClarkCounty NV,Clark, NV,1739,77.28933649,597,0.077542151,2336
107,Clark,NV,62496,301904.7187,0.207005708,2759,37.2355,-99.8203,ClarkCounty NV,Clark, NV,1739,77.28933649,597,0.077542151,2336
108,Clark,NV,62496,301904.7187,0.207005708,2759,44.2839,-112.3512,ClarkCounty NV,Clark, NV,1739,77.28933649,597,0.077542151,2336
109,Clark,WA,76929,379355.8531,0.202788488,2776,36.2152,-115.0135,ClarkCounty WA,Clark, WA,899,79.15510204,597,0.077542151,1496
110,Clark,WA,76929,379355.8531,0.202788488,2776,45.7792,-122.4825,ClarkCounty WA,Clark, WA,899,79.15510204,597,0.077542151,1496
111,Clark,WA,76929,379355.8531,0.202788488,2776,39.9168,-83.7838,ClarkCounty WA,Clark, WA,899,79.15510204,597,0.077542151,1496
112,Clark,WA,76929,379355.8531,0.202788488,2776,38.4772,-85.7073,ClarkCounty WA,Clark, WA,899,79.15510204,597,0.077542151,1496
113,Clark,WA,76929,379355.8531,0.202788488,2776,37.9708,-84.1474,ClarkCounty WA,Clark, WA,899,79.15510204,597,0.077542151,1496
114,Clark,WA,76929,379355.8531,0.202788488,2776,44.7347,-90.6121,ClarkCounty WA,Clark, WA,899,79.15510204,597,0.077542151,1496
115,Clark,WA,76929,379355.8531,0.202788488,2776,34.051,-93.1764,ClarkCounty WA,Clark, WA,899,79.15510204,597,0.077542151,1496
116,Clark,WA,76929,379355.8531,0.202788488,2776,39.3336,-87.7877,ClarkCounty WA,Clark, WA,899,79.15510204,597,0.077542151,1496
117,Clark,WA,76929,379355.8531,0.202788488,2776,40.4103,-91.7384,ClarkCounty WA,Clark, WA,899,79.15510204,597,0.077542151,1496
118,Clark,WA,76929,379355.8531,0.202788488,2776,44.8582,-97.7295,ClarkCounty WA,Clark, WA,899,79.15510204,597,0.077542151,1496
119,Clark,WA,76929,379355.8531,0.202788488,2776,37.2355,-99.8203,ClarkCounty WA,Clark, WA,899,79.15510204,597,0.077542151,1496
120,Clark,WA,76929,379355.8531,0.202788488,2776,44.2839,-112.3512,ClarkCounty WA,Clark, WA,899,79.15510204,597,0.077542151,1496
121,Wallace,KS,57386,26656.45185,2.152799642,3,38.9167,-101.7636,WallaceCounty KS,Wallace, KS,190,81.6,317,0.083333333,507
122,Stafford,KS,55004,26052.60787,2.111266568,4,38.4207,-77.458,StaffordCounty KS,Stafford, KS,2136,76.4,1197,0.068,3333
123,Stafford,KS,55004,26052.60787,2.111266568,4,38.031,-98.7174,StaffordCounty KS,Stafford, KS,2136,76.4,1197,0.068,3333
124,Stafford,VA,110120,375917.9493,0.292936265,2381,38.4207,-77.458,StaffordCounty VA,Stafford, VA,781,79.5,1197,0.068,1978
125,Stafford,VA,110120,375917.9493,0.292936265,2381,38.031,-98.7174,StaffordCounty VA,Stafford, VA,781,79.5,1197,0.068,1978
126,Rawlins,KS,54417,29023.74176,1.874913319,5,39.7852,-101.0765,RawlinsCounty KS,Rawlins, KS,324,80.9,614,0.0775,938
127,Edwards,KS,51756,28235.50759,1.833011142,6,38.4165,-88.0533,EdwardsCounty KS,Edwards, KS,1284,78.3,635,0.076944444,1919
128,Edwards,KS,51756,28235.50759,1.833011142,6,37.8876,-99.3121,EdwardsCounty KS,Edwards, KS,1284,78.3,635,0.076944444,1919
129,Edwards,KS,51756,28235.50759,1.833011142,6,29.9827,-100.3048,EdwardsCounty KS,Edwards, KS,1284,78.3,635,0.076944444,1919
130,Edwards,IL,55832,40661.96427,1.373076805,29,38.4165,-88.0533,EdwardsCounty IL,Edwards, IL,1098,78.7,635,0.076944444,1733
131,Edwards,IL,55832,40661.96427,1.373076805,29,37.8876,-99.3121,EdwardsCounty IL,Edwards, IL,1098,78.7,635,0.076944444,1733
132,Edwards,IL,55832,40661.96427,1.373076805,29,29.9827,-100.3048,EdwardsCounty IL,Edwards, IL,1098,78.7,635,0.076944444,1733
133,McDowell,WV,26582,14611.87731,1.819204982,7,35.6817,-82.0493,McDowellCounty WV,McDowell, WV,2441,75.6125,1427,0.060986842,3868
134,McDowell,WV,26582,14611.87731,1.819204982,7,37.3785,-81.6536,McDowellCounty WV,McDowell, WV,2441,75.6125,1427,0.060986842,3868
135,McDowell,NC,47579,159252.0525,0.29876538,2345,35.6817,-82.0493,McDowellCounty NC,McDowell, NC,2029,76.64,1427,0.060986842,3456
136,McDowell,NC,47579,159252.0525,0.29876538,2345,37.3785,-81.6536,McDowellCounty NC,McDowell, NC,2029,76.64,1427,0.060986842,3456
137,Hamilton,KS,61342,33909.74773,1.808978365,8,39.1955,-84.5428,HamiltonCounty KS,Hamilton, KS,1329,78.2,556,0.078764925,1885
138,Hamilton,KS,61342,33909.74773,1.808978365,8,35.1808,-85.1648,HamiltonCounty KS,Hamilton, KS,1329,78.2,556,0.078764925,1885
139,Hamilton,KS,61342,33909.74773,1.808978365,8,40.0725,-86.052,HamiltonCounty KS,Hamilton, KS,1329,78.2,556,0.078764925,1885
140,Hamilton,KS,61342,33909.74773,1.808978365,8,42.3838,-93.7068,HamiltonCounty KS,Hamilton, KS,1329,78.2,556,0.078764925,1885
141,Hamilton,KS,61342,33909.74773,1.808978365,8,30.4964,-82.9479,HamiltonCounty KS,Hamilton, KS,1329,78.2,556,0.078764925,1885
142,Hamilton,KS,61342,33909.74773,1.808978365,8,40.873,-98.0229,HamiltonCounty KS,Hamilton, KS,1329,78.2,556,0.078764925,1885
143,Hamilton,KS,61342,33909.74773,1.808978365,8,31.7048,-98.1107,HamiltonCounty KS,Hamilton, KS,1329,78.2,556,0.078764925,1885
144,Hamilton,KS,61342,33909.74773,1.808978365,8,38.0815,-88.5391,HamiltonCounty KS,Hamilton, KS,1329,78.2,556,0.078764925,1885
145,Hamilton,KS,61342,33909.74773,1.808978365,8,43.6611,-74.4974,HamiltonCounty KS,Hamilton, KS,1329,78.2,556,0.078764925,1885
146,Hamilton,KS,61342,33909.74773,1.808978365,8,37.9991,-101.7912,HamiltonCounty KS,Hamilton, KS,1329,78.2,556,0.078764925,1885
147,Hamilton,IL,49302,50955.43138,0.96755142,105,39.1955,-84.5428,HamiltonCounty IL,Hamilton, IL,1666,77.46666667,556,0.078764925,2222
148,Hamilton,IL,49302,50955.43138,0.96755142,105,35.1808,-85.1648,HamiltonCounty IL,Hamilton, IL,1666,77.46666667,556,0.078764925,2222
149,Hamilton,IL,49302,50955.43138,0.96755142,105,40.0725,-86.052,HamiltonCounty IL,Hamilton, IL,1666,77.46666667,556,0.078764925,2222
150,Hamilton,IL,49302,50955.43138,0.96755142,105,42.3838,-93.7068,HamiltonCounty IL,Hamilton, IL,1666,77.46666667,556,0.078764925,2222
151,Hamilton,IL,49302,50955.43138,0.96755142,105,30.4964,-82.9479,HamiltonCounty IL,Hamilton, IL,1666,77.46666667,556,0.078764925,2222
152,Hamilton,IL,49302,50955.43138,0.96755142,105,40.873,-98.0229,HamiltonCounty IL,Hamilton, IL,1666,77.46666667,556,0.078764925,2222
153,Hamilton,IL,49302,50955.43138,0.96755142,105,31.7048,-98.1107,HamiltonCounty IL,Hamilton, IL,1666,77.46666667,556,0.078764925,2222
154,Hamilton,IL,49302,50955.43138,0.96755142,105,38.0815,-88.5391,HamiltonCounty IL,Hamilton, IL,1666,77.46666667,556,0.078764925,2222
155,Hamilton,IL,49302,50955.43138,0.96755142,105,43.6611,-74.4974,HamiltonCounty IL,Hamilton, IL,1666,77.46666667,556,0.078764925,2222
156,Hamilton,IL,49302,50955.43138,0.96755142,105,37.9991,-101.7912,HamiltonCounty IL,Hamilton, IL,1666,77.46666667,556,0.078764925,2222
157,Hamilton,IA,61650,107645.9677,0.572710723,590,39.1955,-84.5428,HamiltonCounty IA,Hamilton, IA,531,80.2,556,0.078764925,1087
158,Hamilton,IA,61650,107645.9677,0.572710723,590,35.1808,-85.1648,HamiltonCounty IA,Hamilton, IA,531,80.2,556,0.078764925,1087
159,Hamilton,IA,61650,107645.9677,0.572710723,590,40.0725,-86.052,HamiltonCounty IA,Hamilton, IA,531,80.2,556,0.078764925,1087
160,Hamilton,IA,61650,107645.9677,0.572710723,590,42.3838,-93.7068,HamiltonCounty IA,Hamilton, IA,531,80.2,556,0.078764925,1087
161,Hamilton,IA,61650,107645.9677,0.572710723,590,30.4964,-82.9479,HamiltonCounty IA,Hamilton, IA,531,80.2,556,0.078764925,1087
