State,Area name,no_hs_diploma,hs_diploma,some_college,bachelors_up
CA,San Diego County,11.7,18.2,29.9,40.3
CA,San Francisco County,11.2,11.4,17.9,59.5
CA,San Joaquin County,19.7,28.8,32.1,19.5
CA,San Luis Obispo County,8.1,19.6,35.6,36.7
CA,San Mateo County,9.2,14.9,23.5,52.5
CA,Santa Barbara County,18.1,17.3,29.5,35.1
CA,Santa Clara County,10.8,13.7,21.1,54.4
CA,Santa Cruz County,11.7,15.9,30.5,41.9
CA,Shasta County,8.9,25.8,42.7,22.6
CA,Sierra County,5.6,29.5,42.5,22.3
CA,Siskiyou County,10.1,27.1,41.3,21.5
CA,Solano County,11.1,23.8,37.2,27.8
CA,Sonoma County,10.8,18.3,33.7,37.1
CA,Stanislaus County,20.0,30.0,32.1,17.9
CA,Sutter County,20.4,24.5,35.1,20.0
CA,Tehama County,14.2,29.0,39.8,17.0
CA,Trinity County,6.1,38.4,36.9,18.6
CA,Tulare County,27.4,26.5,30.9,15.2
CA,Tuolumne County,7.9,25.2,42.3,24.6
CA,Ventura County,14.4,19.8,31.8,34.0
CA,Yolo County,12.4,17.7,26.8,43.1
CA,Yuba County,18.8,23.2,40.2,17.7
CO,Colorado,7.6,20.6,28.9,42.8
CO,Adams County,15.1,28.3,30.1,26.4
CO,Alamosa County,13.1,28.4,32.9,25.6
CO,Arapahoe County,7.9,19.7,27.9,44.5
CO,Archuleta County,6.0,21.9,32.3,39.9
CO,Baca County,14.5,28.9,32.9,23.8
CO,Bent County,12.9,48.6,24.3,14.2
CO,Boulder County,4.5,11.1,21.5,62.9
CO,Broomfield County,3.4,13.0,25.8,57.8
CO,Chaffee County,5.6,25.8,29.3,39.4
CO,Cheyenne County,7.0,30.0,40.9,22.2
CO,Clear Creek County,2.7,20.0,23.8,53.6
CO,Conejos County,10.5,32.8,32.2,24.5
CO,Costilla County,13.1,29.3,33.2,24.4
CO,Crowley County,11.0,51.4,28.3,9.2
CO,Custer County,1.7,18.0,41.7,38.7
CO,Delta County,10.4,36.5,30.2,22.9
CO,Denver County,10.0,16.0,21.5,52.5
CO,Dolores County,3.6,42.4,27.6,26.5
CO,Douglas County,2.1,12.2,26.5,59.2
CO,Eagle County,8.3,15.6,25.2,50.9
CO,Elbert County,3.7,23.4,37.6,35.3
CO,El Paso County,5.6,19.6,35.3,39.5
CO,Fremont County,10.3,40.5,30.6,18.6
CO,Garfield County,10.4,25.7,30.9,32.9
CO,Gilpin County,6.3,14.2,30.7,48.8
CO,Grand County,5.6,30.3,26.5,37.7
CO,Gunnison County,2.0,16.7,24.5,56.7
CO,Hinsdale County,3.6,16.1,33.5,46.8
CO,Huerfano County,7.9,26.1,40.7,25.3
CO,Jackson County,13.9,23.4,35.4,27.2
CO,Jefferson County,4.9,19.6,27.6,47.9
CO,Kiowa County,2.9,27.1,49.7,20.3
CO,Kit Carson County,10.8,29.1,41.9,18.2
CO,Lake County,11.7,24.0,28.3,36.0
CO,La Plata County,3.4,20.4,29.2,47.0
CO,Larimer County,3.7,17.4,29.5,49.4
CO,Las Animas County,11.8,26.6,42.9,18.7
CO,Lincoln County,11.3,49.5,22.5,16.7
CO,Logan County,8.6,38.5,32.6,20.3
CO,Mesa County,8.5,27.3,34.9,29.3
CO,Mineral County,2.1,13.3,28.4,56.3
CO,Moffat County,8.0,41.9,31.2,18.8
CO,Montezuma County,9.1,29.9,30.9,30.0
CO,Montrose County,11.2,31.7,30.6,26.5
CO,Morgan County,19.3,31.2,32.0,17.5
CO,Otero County,12.2,31.9,37.0,19.0
CO,Ouray County,1.4,13.6,38.8,46.2
CO,Park County,2.5,25.2,39.2,33.1
CO,Phillips County,13.2,28.1,32.7,26.0
CO,Pitkin County,2.5,13.6,21.5,62.3
CO,Prowers County,17.8,29.3,36.0,16.9
CO,Pueblo County,9.5,29.4,37.5,23.7
